Series_reference	Period	Data_value	Suppressed	STATUS	UNITS	Magnitude	Subject	Group	Series_title_1	Series_title_2	Series_title_3	Series_title_4	Series_title_5
MEIM.S1WA	2003.1	85369		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2003.11	91374		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2003.12	99890		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2004.01	97825		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2004.02	93345		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2004.03	93658		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2004.04	89369		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2004.05	84401		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2004.06	80589		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2004.07	81849		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2004.08	81968		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2004.09	83555		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2004.1	84839		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2004.11	93005		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2004.12	99630		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2005.01	96389		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2005.02	98565		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2005.03	97220		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2005.04	89764		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2005.05	85009		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2005.06	80452		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2005.07	82004		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2005.08	84011		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2005.09	84913		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2005.1	86182		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2005.11	92042		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2005.12	98292		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2006.01	95371		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2006.02	93511		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2006.03	92203		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2006.04	86906		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2006.05	83342		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2006.06	80525		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2006.07	81846		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2006.08	87126		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2006.09	87683		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2006.1	86030		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2006.11	92081		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2006.12	97268		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2007.01	97111		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2007.02	95522		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2007.03	93769		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2007.04	88478		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2007.05	84625		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2007.06	80491		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2007.07	81329		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2007.08	84618		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2007.09	85708		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2007.1	87507		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2007.11	93231		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2007.12	98853		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2008.01	99933		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2008.02	97539		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2008.03	93801		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2008.04	90240		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2008.05	86883		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2008.06	82929		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2008.07	84806		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2008.08	85587		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2008.09	86747		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2008.1	89517		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2008.11	94966		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2008.12	102925		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2009.01	101060		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2009.02	98516		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2009.03	96084		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2009.04	92731		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2009.05	86052		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2009.06	83192		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2009.07	85167		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2009.08	84709		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2009.09	84145		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2009.1	85590		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2009.11	92079		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2009.12	100351		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2010.01	97682		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2010.02	96843		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2010.03	95903		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2010.04	91437		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2010.05	85565		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2010.06	81993		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2010.07	84446		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2010.08	85401		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2010.09	86128		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2010.1	87745		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2010.11	96227		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2010.12	103299		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2011.01	100192		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2011.02	99392		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2011.03	98106		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2011.04	93301		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2011.05	88836		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2011.06	85458		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2011.07	86199		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2011.08	88072		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2011.09	88434		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2011.1	87923		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2011.11	95946		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2011.12	102824		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2012.01	102038		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2012.02	99899		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2012.03	98031		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2012.04	94687		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2012.05	91564		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2012.06	86723		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2012.07	87599		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2012.08	89307		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2012.09	89688		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2012.1	91325		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2012.11	96226		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2012.12	102470		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2013.01	103112		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2013.02	100789		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2013.03	97381		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2013.04	93665		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2013.05	91481		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2013.06	86913		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2013.07	89308		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2013.08	91033		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2013.09	91392		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2013.1	94660		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2013.11	101485		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2013.12	109346		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2014.01	108682		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2014.02	107464		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2014.03	103597		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2014.04	98899		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2014.05	96354		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2014.06	91916		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2014.07	93461		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2014.08	94482		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2014.09	95502		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2014.1	98069		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2014.11	104279		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2014.12	113413		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2015.01	112213		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2015.02	108486		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2015.03	104556		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2015.04	102544		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2015.05	97607		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2015.06	93850		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2015.07	94645		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2015.08	94936		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2015.09	95140		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2015.1	98286		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2015.11	105527		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2015.12	114920		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2016.01	111282		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2016.02	107869		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2016.03	106026		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2016.04	102430		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2016.05	97515		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2016.06	93634		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2016.07	93679		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2016.08	96058		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2016.09	96657		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2016.1	98668		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2016.11	106600		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2016.12	113761		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2017.01	110888		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2017.02	106541		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2017.03	105166		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2017.04	102239		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2017.05	99221		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2017.06	94759		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2017.07	94283		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2017.08	96948		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2017.09	97661		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
MEIM.S1WA	2017.1	100685		F	Number	0	Employment indicators - MEI	High level industry by variable	Filled jobs	Primary industries	Actual		
